species,parent1,parent2,offspring,prob
rose,rryywwss,rryywwss,rryywwss,1
rose,rryywwss,rryywwSs,rryywwSs,0.5
rose,rryywwss,rryywwSs,rryywwss,0.5
rose,rryywwSs,rryywwSs,rryywwSs,0.5
rose,rryywwSs,rryywwSs,rryywwSS,0.25
rose,rryywwSs,rryywwSs,rryywwss,0.25
rose,rryywwss,rryywwSS,rryywwSs,1
rose,rryywwSs,rryywwSS,rryywwSS,0.5
rose,rryywwSs,rryywwSS,rryywwSs,0.5
rose,rryywwSS,rryywwSS,rryywwSS,1
rose,rryywwss,rryyWwss,rryyWwss,0.5
rose,rryywwss,rryyWwss,rryywwss,0.5
rose,rryywwSs,rryyWwss,rryyWwSs,0.25
rose,rryywwSs,rryyWwss,rryyWwss,0.25
rose,rryywwSs,rryyWwss,rryywwSs,0.25
rose,rryywwSs,rryyWwss,rryywwss,0.25
rose,rryywwSS,rryyWwss,rryyWwSs,0.5
rose,rryywwSS,rryyWwss,rryywwSs,0.5
rose,rryyWwss,rryyWwss,rryyWwss,0.5
rose,rryyWwss,rryyWwss,rryyWWss,0.25
rose,rryyWwss,rryyWwss,rryywwss,0.25
rose,rryywwss,rryyWwSs,rryyWwSs,0.25
rose,rryywwss,rryyWwSs,rryyWwss,0.25
rose,rryywwss,rryyWwSs,rryywwSs,0.25
rose,rryywwss,rryyWwSs,rryywwss,0.25
rose,rryywwSs,rryyWwSs,rryyWwSs,0.25
rose,rryywwSs,rryyWwSs,rryywwSs,0.25
rose,rryywwSs,rryyWwSs,rryyWwSS,0.125
rose,rryywwSs,rryyWwSs,rryyWwss,0.125
rose,rryywwSs,rryyWwSs,rryywwSS,0.125
rose,rryywwSs,rryyWwSs,rryywwss,0.125
rose,rryywwSS,rryyWwSs,rryyWwSS,0.25
rose,rryywwSS,rryyWwSs,rryyWwSs,0.25
rose,rryywwSS,rryyWwSs,rryywwSS,0.25
rose,rryywwSS,rryyWwSs,rryywwSs,0.25
rose,rryyWwss,rryyWwSs,rryyWwSs,0.25
rose,rryyWwss,rryyWwSs,rryyWwss,0.25
rose,rryyWwss,rryyWwSs,rryyWWSs,0.125
rose,rryyWwss,rryyWwSs,rryyWWss,0.125
rose,rryyWwss,rryyWwSs,rryywwSs,0.125
rose,rryyWwss,rryyWwSs,rryywwss,0.125
rose,rryyWwSs,rryyWwSs,rryyWwSs,0.25
rose,rryyWwSs,rryyWwSs,rryyWWSs,0.125
rose,rryyWwSs,rryyWwSs,rryyWwSS,0.125
rose,rryyWwSs,rryyWwSs,rryyWwss,0.125
rose,rryyWwSs,rryyWwSs,rryywwSs,0.125
rose,rryyWwSs,rryyWwSs,rryyWWSS,0.0625
rose,rryyWwSs,rryyWwSs,rryyWWss,0.0625
rose,rryyWwSs,rryyWwSs,rryywwSS,0.0625
rose,rryyWwSs,rryyWwSs,rryywwss,0.0625
rose,rryywwss,rryyWwSS,rryyWwSs,0.5
rose,rryywwss,rryyWwSS,rryywwSs,0.5
rose,rryywwSs,rryyWwSS,rryyWwSS,0.25
